"","x"
"439","AGPAT5"
"440","AGPS"
"441","AGR2"
"442","AGR3"
"443","AGRN"
"444","AGRP"
"445","AGT"
"446","AGTPBP1"
"447","AGTR1"
"448","AGTR2"
"449","AGTRAP"
"450","AGXT"
"451","AGXT2"
"452","AHCTF1"
"453","AHCY"
"454","AHCYL1"
"455","AHCYL2"
"456","AHDC1"
"457","AHI1"
"458","AHNAK"
"459","AHNAK2"
"460","AHR"
"461","AHRR"
"462","AHSA1"
"463","AHSG"
"464","AHSP"
"465","AICDA"
"466","AIDA"
"467","AIF1"
"468","AIF1L"
"469","AIFM1"
"470","AIFM2"
"471","AIFM3"
"472","AIG1"
"473","AIM2"
"474","AIMP1"
"475","AIMP2"
"476","AIP"
"477","AIPL1"
"478","AIRE"
"479","AJAP1"
"480","AJM1"
"481","AJUBA"
"482","AK1"
"483","AK2"
"484","AK3"
"485","AK4"
"486","AK5"
"487","AK6"
"488","AK7"
"489","AK8"
"490","AK9"
"491","AKAIN1"
"492","AKAP1"
"493","AKAP10"
"494","AKAP11"
"495","AKAP12"
"496","AKAP13"
"497","AKAP14"
"498","AKAP17A"
"499","AKAP2"
"500","AKAP3"
"501","AKAP4"
"502","AKAP5"
"503","AKAP6"
"504","AKAP7"
"505","AKAP8"
"506","AKAP8L"
"507","AKAP9"
"508","AKIP1"
"509","AKIRIN1"
"510","AKIRIN2"
"511","AKNA"
"512","AKNAD1"
"513","AKR1A1"
"514","AKR1B1"
"515","AKR1B10"
"516","AKR1B15"
"517","AKR1C1"
"518","AKR1C2"
"519","AKR1C3"
"520","AKR1C4"
"521","AKR1C8P"
"522","AKR1D1"
"523","AKR1E2"
"524","AKR7A2"
"525","AKR7A3"
"526","AKR7L"
"527","AKT1"
"528","AKT1S1"
"529","AKT2"
"530","AKT3"
"531","AKTIP"
"532","ALAD"
"533","ALAS1"
"534","ALAS2"
"535","ALB"
"536","ALCAM"
"537","ALDH16A1"
"538","ALDH18A1"
"539","ALDH1A1"
"540","ALDH1A2"
"541","ALDH1A3"
"542","ALDH1B1"
"543","ALDH1L1"
"544","ALDH1L2"
"545","ALDH2"
"546","ALDH3A1"
"547","ALDH3A2"
"548","ALDH3B1"
"549","ALDH3B2"
"550","ALDH4A1"
"551","ALDH5A1"
"552","ALDH6A1"
"553","ALDH7A1"
"554","ALDH8A1"
"555","ALDH9A1"
"556","ALDOA"
"557","ALDOB"
"558","ALDOC"
"559","ALG1"
"560","ALG10"
"561","ALG10B"
"562","ALG11"
"563","ALG12"
"564","ALG13"
"565","ALG14"
"566","ALG1L"
"567","ALG1L2"
"568","ALG2"
"569","ALG3"
"570","ALG5"
"571","ALG6"
"572","ALG8"
"573","ALG9"
"574","ALK"
"575","ALKAL1"
"576","ALKAL2"
"577","ALKBH1"
"578","ALKBH2"
"579","ALKBH3"
"580","ALKBH4"
"581","ALKBH5"
"582","ALKBH6"
"583","ALKBH7"
"584","ALKBH8"
"585","ALLC"
"586","ALMS1"
"587","ALOX12"
"588","ALOX12B"
"589","ALOX15"
"590","ALOX15B"
"591","ALOX5"
"592","ALOX5AP"
"593","ALOXE3"
"594","ALPG"
"595","ALPI"
"596","ALPK1"
"597","ALPK2"
"598","ALPK3"
"599","ALPL"
"600","ALPP"
"601","ALS2"
"602","ALS2CL"
"603","ALX1"
"604","ALX3"
"605","ALYREF"
"606","AMACR"
"607","AMBN"
"608","AMBP"
"609","AMBRA1"
"610","AMD1"
"611","AMDHD1"
"612","AMDHD2"
"613","AMELX"
"614","AMELY"
"615","AMER1"
"616","AMER2"
"617","AMER3"
"618","AMFR"
"619","AMH"
"620","AMHR2"
"621","AMIGO1"
"622","AMIGO2"
"623","AMIGO3"
"624","AMMECR1"
"625","AMMECR1L"
"626","AMN"
"627","AMN1"
"628","AMOT"
"629","AMOTL1"
"630","AMOTL2"
"631","AMPD1"
"632","AMPD2"
"633","AMPD3"
"634","AMPH"
"635","AMT"
"636","AMTN"
"637","AMY1A"
"638","AMY1B"
"639","AMY1C"
"640","AMY2A"
"641","AMY2B"
"642","AMZ1"
"643","AMZ2"
"644","ANAPC1"
"645","ANAPC10"
"646","ANAPC11"
"647","ANAPC13"
"648","ANAPC15"
"649","ANAPC16"
"650","ANAPC2"
"651","ANAPC4"
"652","ANAPC5"
"653","ANAPC7"
"654","ANG"
"655","ANGEL1"
"656","ANGEL2"
"657","ANGPT1"
